Place,Year,Month,doedfodt_aegte,doedfoedte_u,<10_m,<10_k,10-24_m,10-24_k,25-49_m,25-49_k,>50_m,>50_m,All_m,All_k,All,check,<10,10-25,26-50,>50
Koebenhavn,1852,1,14,13,54,57,3,2,31,27,44,39,150,134,284,284,111,5,58,83
Koebenhavn,1852,2,11,8,56,35,7,5,28,21,40,49,141,119,260,260,91,12,49,89
Koebenhavn,1852,3,11,7,60,45,5,10,29,24,44,50,150,135,285,285,105,15,53,94
Koebenhavn,1852,4,8,7,61,38,11,6,38,28,47,57,164,137,301,301,99,17,66,104
Koebenhavn,1852,5,11,7,56,50,10,12,38,32,44,52,158,154,312,312,106,22,70,96
Koebenhavn,1852,6,14,0,60,55,6,9,33,26,43,44,151,139,290,290,115,15,59,87
Koebenhavn,1852,7,10,4,93,88,12,14,30,30,38,51,181,189,370,370,181,26,60,89
Koebenhavn,1852,8,10,5,116,113,16,5,31,24,29,41,201,189,390,390,229,21,55,70
Koebenhavn,1852,9,15,2,128,142,12,12,51,32,44,52,241,249,490,490,270,24,83,96
Koebenhavn,1852,10,22,6,76,91,13,6,30,31,56,41,195,177,372,372,167,19,61,97
Koebenhavn,1852,11,14,0,75,110,5,12,44,30,50,71,180,231,411,411,185,17,74,121
Koebenhavn,1852,12,14,7,72,66,8,9,34,32,56,58,183,173,356,356,138,17,66,114
Koebenhavn,1853,1,10,7,103,101,9,11,33,38,53,66,207,224,431,431,204,20,71,119
Koebenhavn,1853,2,9,17,67,59,9,9,24,18,58,53,175,148,323,323,126,18,42,111
Koebenhavn,1853,3,12,6,76,65,7,4,37,46,44,55,175,177,352,352,141,11,83,99
Koebenhavn,1853,4,14,5,54,54,11,21,36,29,59,63,170,176,346,346,108,32,65,122
Koebenhavn,1853,5,17,5,64,62,12,14,54,36,48,43,191,164,355,355,126,26,90,91
Koebenhavn,1853,6,10,5,69,55,20,12,38,31,63,53,197,159,356,356,124,32,69,116
Koebenhavn,1853,7,20,11,204,180,95,70,495,416,532,776,1346,1455,2799,2799,384,165,911,1308
Koebenhavn,1853,8,15,4,157,131,49,39,207,164,193,342,616,685,1301,1301,288,88,371,535
Koebenhavn,1853,9,4,6,54,51,13,9,42,27,53,33,174,128,302,292,105,22,69,86
Koebenhavn,1853,10,10,10,52,34,13,7,29,22,27,38,130,112,242,242,86,20,51,65
Koebenhavn,1853,11,17,4,66,49,7,8,25,14,20,43,133,120,253,253,115,15,39,63
Koebenhavn,1853,12,10,14,53,40,8,6,27,12,35,40,137,108,245,245,93,14,39,75
Koebenhavn,1854,1,8,5,63,41,5,6,26,23,26,49,128,124,252,252,104,11,49,75
Koebenhavn,1854,2,14,2,37,27,11,9,25,25,32,28,111,99,210,210,64,20,50,60
Koebenhavn,1854,3,12,3,60,46,10,6,43,21,36,42,158,121,279,279,106,16,64,78
Koebenhavn,1854,4,10,7,56,68,8,9,33,22,38,39,143,147,290,290,124,17,55,77
Koebenhavn,1854,5,16,10,63,56,16,12,41,22,26,38,164,136,300,300,119,28,63,64
Koebenhavn,1854,6,18,8,73,62,4,12,43,20,25,39,159,145,304,304,135,16,63,64
