"","V1"
"1",2.76754895886419
"2",2.6944065506271
"3",3.12453046779137
"4",3.49929263607162
"5",3.70722538508568
"6",3.99765852810289
"7",3.97528978064469
"8",3.73433189239199
"9",2.69112957482967
"10",2.69978189293381
"11",2.80038350715293
"12",2.80614170429288
"13",2.68458812146561
"14",2.28202314544719
"15",2.39061553008104
"16",2.42755255562684
"17",2.39935511465149
"18",2.34235597817155
"19",2.41035804399075
"20",2.38294204804903
"21",2.224294044826
"22",2.11900072728591
"23",2.06628995272751
"24",2.11443000004986
"25",2.12524921329382
"26",2.15835293962813
"27",2.21711455065175
"28",2.27429817959553
"29",2.34347670403758
"30",2.34237772382142
"31",2.32680905841466
"32",2.2073936849253
"33",1.96365265803976
"34",1.6135237646393
"35",1.38454977276979
"36",1.24727977257369
"37",1.15209393411032
"38",1.05534447209387
"39",0.983276721663455
"40",0.956300768994384
"41",0.933067775392455
"42",0.918224703979064
"43",0.89215958260121
"44",0.838280408094684
"45",0.770518821854846
"46",0.689602613223786
"47",0.635818795472281
"48",0.598977619226024
"49",0.567444722798852
"50",0.543050943227051
"51",0.533363387316449
"52",0.522001121209735
"53",0.514216219868929
"54",0.509150093997851
"55",0.50720378448502
"56",0.517084156723885
"57",0.52658872335551
"58",0.517575723007254
"59",0.518422695457394
"60",0.524059196932197
"61",0.52597981922596
"62",0.529361587808965
"63",0.535723788397903
"64",0.537904810716264
"65",0.536650339694733
"66",0.536001170722243
"67",0.54240838408719
"68",0.545828509389839
"69",0.551783411148853
"70",0.564262858475261
"71",0.573290162314491
"72",0.565875663595187
"73",0.536565177540151
"74",0.516669931994081
"75",0.487080107839454
"76",0.479509371584309
"77",0.482979232417215
"78",0.47999589044048
"79",0.458916355026178
"80",0.468717144843501
"81",0.472707936181762
"82",0.476574111860597
"83",0.478960438008196
"84",0.476729632990252
"85",0.472050093461416
"86",0.50064986044364
"87",0.545194631478093
"88",0.608711192400738
"89",0.680139242662831
"90",0.762144522831722
"91",0.809256538869215
"92",0.820243043430565
"93",0.788437502143164
"94",0.714191764541603
"95",0.57805625567634
"96",0.47474812595448
"97",0.451043330535482
"98",0.366803331365348
"99",0.298628037417972
"100",0.306257980007129
"101",0.336463515284986
"102",0.377437958846008
"103",0.401858092644079
"104",0.390232609873588
"105",0.356483469046037
"106",0.290359456376155
"107",0.306060213185209
"108",0.292452044252888
"109",0.223014461833236
"110",0.141705317717439
"111",0.0602189622964189
