"Street1" "quarter" "pop.1855" "pop_1850" "street" "male.sick" "female.sick" "male.dead" "female.dead" "street.index" "start.date" "end.date"
"1" "Adelgade" "St. Annæ Vester" 5226 "4999" "Adelgade" 28 29 21 22 37 "03-07-1853" "09-07-1853"
"2" "Admiralgade" "Øster" 322 "47" "Admiralgade" 0 0 0 0 142 "03-07-1853" "09-07-1853"
"3" "Akademigade" "St. Annæ Øster" 194 "220" "Akademigade" 0 0 0 0 60 "03-07-1853" "09-07-1853"
"4" "Amagerbro" "Christianshavn" 144 "141" "Amagerbro" 0 0 0 0 81 "03-07-1853" "09-07-1853"
"5" "Amagergade" "Christianshavn" 1008 "1173" "Amagergade" 1 0 0 0 78 "03-07-1853" "09-07-1853"
"6" "Amaliegade" "St. Annæ Øster" 2785 "3003" "Amaliegade" 1 0 1 0 54 "03-07-1853" "09-07-1853"
"7" "Antoniestræde" "Kjøbmager" 568 "573" "Antoniestræde" 0 1 0 1 106 "03-07-1853" "09-07-1853"
"8" "Badstustræde" "Snarens" 651 "591" "Badstustræde" 0 0 0 0 158 "03-07-1853" "09-07-1853"
"9" "Balsamgade" "Nyboder" 58 "na" "Balsomgade" 0 0 0 0 23 "03-07-1853" "09-07-1853"
"10" "Balsamgade" "St. Annæ Vester" 220 "na" "Balsomgade" 2 2 2 1 46 "03-07-1853" "09-07-1853"
"11" "Bjørnegade" "Nyboder" 280 "345" "Bjørnegade" 0 0 0 0 25 "03-07-1853" "09-07-1853"
"12" "Blancogade" "St. Annæ Øster" 360 "0" "Blancogade" 0 1 0 1 63 "03-07-1853" "09-07-1853"
"13" "Boldhuusgade" "Øster" 118 "81" "Boldhusgade" 0 0 0 0 148 "03-07-1853" "09-07-1853"
"14" "Borgergade" "St. Annæ Vester" 4720 "4271" "Borgergade" 4 8 3 3 36 "03-07-1853" "09-07-1853"
"15" "Brogade" "Christianshavn" 629 "642" "Brogade" 1 0 1 0 64 "03-07-1853" "09-07-1853"
"16" "Brolæggerstræde" "Snarens" 328 "339" "Brolæggerstræde" 0 0 0 0 156 "03-07-1853" "09-07-1853"
"17" "Bryggerlængen" "Nyboder" NA NA "Bryggerlænge" 0 0 0 0 21 "03-07-1853" "09-07-1853"
"18" "Bryggerlængen" "St. Annæ Vester" NA NA "Bryggerlænge" 0 0 0 0 33 "03-07-1853" "09-07-1853"
"19" "Baadsmandsstræde" "Christianshavn" 722 "340" "Baadsmandsstræde" 0 0 0 0 79 "03-07-1853" "09-07-1853"
"20" "Christenbernikovstræde" "Kjøbmager" 601 "536" "Christenbernikovstræde" 0 0 0 0 105 "03-07-1853" "09-07-1853"
"21" "Delfingade" "Nyboder" 768 "811" "Delphingade" 0 0 0 0 4 "03-07-1853" "09-07-1853"
"22" "Diderikbadskjærsgang" "Kjøbmager" 221 "201" "Didrikbadskjærs Gang" 0 0 0 0 109 "03-07-1853" "09-07-1853"
"23" "Dronningens Tvergade" "St. Annæ Vester" 1307 "na" "Dronningens Tvergade" 2 8 2 5 39 "03-07-1853" "09-07-1853"
"24" "Dronningens Tvergade" "St. Annæ Øster" 261 "na" "Dronningens Tvergade" 0 0 0 0 59 "03-07-1853" "09-07-1853"
"25" "Dronningensgade" "Christianshavn" 2305 "2151" "Dronningensgade" 0 3 0 3 74 "03-07-1853" "09-07-1853"
"26" "Dybensgade" "Øster" 512 "826" "Dybensgade" 0 0 0 0 143 "03-07-1853" "09-07-1853"
"27" "Eenhjørnegade" "Nyboder" 248 "293" "Enhjørnegade" 1 0 1 0 19 "03-07-1853" "09-07-1853"
"28" "Elefantgade" "Nyboder" 679 "720" "Elefantgade" 2 1 2 1 7 "03-07-1853" "09-07-1853"
"29" "Elsdyrsgade" "Nyboder" 733 "758" "Elsdyrsgade" 1 1 1 1 5 "03-07-1853" "09-07-1853"
"30" "Farvegade" "Vester" 1548 "1532" "Farvergade" 0 3 0 3 192 "03-07-1853" "09-07-1853"
"31" "Frederiksberggade" "Vester" 793 "940" "Frederiksberggade" 0 0 0 0 187 "03-07-1853" "09-07-1853"
"32" "Frederiksborggade" "Klædebo" 338 "284" "Frederiksborggade" 0 0 0 0 169 "03-07-1853" "09-07-1853"
"33" "Frederikshoms Kanal" "Vester" 581 "406" "Frederiksholms Canal" 0 0 0 0 196 "03-07-1853" "09-07-1853"
"34" "Gammelmønt" "Kjøbmager" 1327 "1358" "Gammelmønt" 0 0 0 0 104 "03-07-1853" "09-07-1853"
"35" "Gammelstrand" "Strand" 803 "834" "Gammelstrand" 0 0 0 0 127 "03-07-1853" "09-07-1853"
"36" "Gl. Amagertorv" "Strand" 923 "875" "Gl. Amagertorv" 0 0 0 0 130 "03-07-1853" "09-07-1853"
"37" "Gl. og Nytorv" "Vester" 591 "684" "Gl. og Nytorv" 1 0 1 0 188 "03-07-1853" "09-07-1853"
"38" "Gothersgade" "Kjøbmager" 700 "na" "Gothersgade" 0 0 0 0 117 "03-07-1853" "09-07-1853"
"39" "Gothersgade" "Rosenborg" 1007 "na" "Gothersgade" 0 0 0 0 90 "03-07-1853" "09-07-1853"
"40" "Gothersgade" "St. Annæ Vester" 968 "na" "Gothersgade" 0 1 0 1 31 "03-07-1853" "09-07-1853"
"41" "Graabrødretorv" "Frimands" 593 "572" "Graabrødretorv" 0 0 0 0 122 "03-07-1853" "09-07-1853"
"42" "Gaasegade" "Vester" 74 "89" "Gaasegade" 0 0 0 0 193 "03-07-1853" "09-07-1853"
"43" "Halmtorvet" "Vester" 350 "324" "Halmtorvet" 0 0 0 0 201 "03-07-1853" "09-07-1853"
"44" "Hauserpladsen, Suhmsgade, Pustervig etc" "Rosenborg" 666 "548" "Hauserpladsen, Suhmsgade, Pustervig etc" 0 0 0 0 93 "03-07-1853" "09-07-1853"
"45" "Helsingørsgade" "St. Annæ Vester" 583 "601" "Helsingørsgade" 1 0 1 0 38 "03-07-1853" "09-07-1853"
"46" "Hjertensfrydgade" "Nyboder" 255 "216" "Hjertensfrydgade" 0 0 0 0 6 "03-07-1853" "09-07-1853"
"47" "Hjortelængen" "Nyboder" NA NA "Hjortelænge" 0 0 0 0 28 "03-07-1853" "09-07-1853"
"48" "Hjortelængen" "St. Annæ Vester" 452 "352" "Hjortelænge" 1 0 1 0 202 "03-07-1853" "09-07-1853"
"49" "Holmens Kanal" "Øster" 487 "619" "Holmens Canal (ved Stranden)" 0 1 0 0 141 "03-07-1853" "09-07-1853"
"50" "Holmensgade" "Øster" 834 "490" "Holmensgade" 1 1 0 1 140 "03-07-1853" "09-07-1853"
"51" "Hoppenslænge" "St. Annæ Vester" 137 "108" "Hoppenslænge" 0 0 0 0 35 "03-07-1853" "09-07-1853"
"52" "Hummergade" "Øster" 459 "652" "Hummergade" 0 1 0 1 149 "03-07-1853" "09-07-1853"
"53" "Hyskenstræde" "Snarens" 284 "268" "Hyskenstræde" 0 0 0 0 159 "03-07-1853" "09-07-1853"
"54" "Kameelgade" "Nyboder" 326 "334" "Kamelgade" 0 0 0 0 13 "03-07-1853" "09-07-1853"
"55" "Kaninlængen" "Nyboder" 66 "na" "Kaninlænge" 0 0 0 0 29 "03-07-1853" "09-07-1853"
"56" "Kaninlængen" "St. Annæ Vester" 264 "na" "Kaninlænge" 0 1 0 0 34 "03-07-1853" "09-07-1853"
"57" "Kattegade" "Nyboder" 46 "175" "Kattegade" 0 0 0 0 15 "03-07-1853" "09-07-1853"
"58" "Kattesundet" "Vester" 400 "234" "Kattesundet" 0 0 0 0 191 "03-07-1853" "09-07-1853"
"59" "Klareboderne" "Kjøbmager" 213 "214" "Klareboderne" 0 0 0 0 102 "03-07-1853" "09-07-1853"
"60" "Klosterstræde" "Frimands" NA NA "Klosterstræde" 0 0 0 0 121 "03-07-1853" "09-07-1853"
"61" "Klærkegade" "Nyboder" 15 "na" "Klerkegade" 0 0 0 0 30 "03-07-1853" "09-07-1853"
"62" "Klærkegade" "St. Annæ Vester" 1091 "na" "Klerkegade" 0 2 0 2 42 "03-07-1853" "09-07-1853"
"63" "Knabrostræde" "Snarens" 544 "347" "Knabrostræde" 0 0 0 0 157 "03-07-1853" "09-07-1853"
"64" "Kokkegade" "Frimands" 160 "145" "Kokkegade" 0 0 0 0 126 "03-07-1853" "09-07-1853"
"65" "Kokkegade" "St. Annæ Vester" 541 "565" "Kokkegade" 7 4 5 4 45 "03-07-1853" "09-07-1853"
"66" "Kongens Nytorv" "Kjøbmager" 291 "na" "Kongens Nytorv" 0 0 0 0 116 "03-07-1853" "09-07-1853"
"67" "Kongens Nytorv" "St. Annæ Øster" 313 "na" "Kongens Nytorv" 0 0 0 0 57 "03-07-1853" "09-07-1853"
"68" "Kongens Nytorv" "Øster" 447 "na" "Kongens Nytorv" 0 0 0 0 133 "03-07-1853" "09-07-1853"
"69" "Krokodillegade" "Nyboder" 310 "358" "Krokodilgade" 0 1 0 1 3 "03-07-1853" "09-07-1853"
"70" "Kronprindsensgade" "Kjøbmager" 313 "300" "Kronprindsensgade" 0 0 0 0 100 "03-07-1853" "09-07-1853"
"71" "Kronprindsessegade" "St. Annæ Vester" 1184 "1001" "Kronprindsensgade" 0 0 0 0 41 "03-07-1853" "09-07-1853"
"72" "Krusemyntegade" "Nyboder" 167 "168" "Krusemyntegade" 0 0 0 0 17 "03-07-1853" "09-07-1853"
"73" "Krystalgade" "Klædebo" 899 "853" "Krystalgade" 0 0 0 0 164 "03-07-1853" "09-07-1853"
"74" "Kultorvet" "Klædebo" 250 "na" "Kultorvet" 0 0 0 0 170 "03-07-1853" "09-07-1853"
"75" "Kultorvet" "Rosenborg" 138 "na" "Kultorvet" 0 0 0 0 96 "03-07-1853" "09-07-1853"
"76" "Laboratoriet" "Christianshavn" 157 "" "Laboratoriet" 0 0 0 0 80 "03-07-1853" "09-07-1853"
"77" "Larsleistræde" "Nørre" 425 "306" "Larsleistræde" 0 0 0 0 179 "03-07-1853" "09-07-1853"
"78" "Lavendelstræde" "Vester" 695 "697" "Lavendelstræde" 0 0 0 0 189 "03-07-1853" "09-07-1853"
"79" "Laxegade" "Øster" 686 "806" "Laxegade" 0 0 0 0 146 "03-07-1853" "09-07-1853"
"80" "Lille Brøndstræde" "Rosenborg" 525 "508" "Lille Brøndstræde" 0 2 0 2 89 "03-07-1853" "09-07-1853"
"81" "Lille Fiolstræde" "Klædebo" 195 "237" "Lille Fiolstræde" 0 0 0 0 168 "03-07-1853" "09-07-1853"
"82" "Lille Helliggeistræde" "Frimands" 683 "644" "Lille Helliggeistræde" 0 0 0 0 125 "03-07-1853" "09-07-1853"
"83" "Lille Kjøbmagergade" "Klædebo" 388 "331" "Lille Kjøbmagergade" 0 0 0 0 162 "03-07-1853" "09-07-1853"
"84" "Lille Kongensgade" "Christianshavn" 435 "" "Lille Kongensgade" 0 0 0 0 66 "03-07-1853" "09-07-1853"
"85" "Lille Kongensgade" "Øster" 1205 "1182" "Lille Kongensgade" 2 2 1 2 136 "03-07-1853" "09-07-1853"
"86" "Lille Larsbjørnstræde" "Nørre" 318 "325" "Lille Larsbjørnstræde" 0 0 0 0 182 "03-07-1853" "09-07-1853"
"87" "Lille Regnegade" "Kjøbmager" 494 "483" "Lille Regnegade" 0 0 0 0 111 "03-07-1853" "09-07-1853"
"88" "Lille Strandstræde" "St. Annæ Øster" 561 "549" "Lille Strandstræde" 1 1 0 1 53 "03-07-1853" "09-07-1853"
"89" "Lille Torvegade" "Christianshavn" 960 "832" "Lille Torvegade" 0 0 0 0 68 "03-07-1853" "09-07-1853"
"90" "Læderstræde" "Strand" 462 "583" "Læderstræde" 0 0 0 0 129 "03-07-1853" "09-07-1853"
"91" "Løngangsstræde" "Vester" 681 "641" "Løngangsstræde" 0 0 0 0 195 "03-07-1853" "09-07-1853"
"92" "Løvegade" "Nyboder" 152 "173" "Løvegade" 0 1 0 1 26 "03-07-1853" "09-07-1853"
"93" "Løvstræde" "Frimands" 349 "365" "Løvstræde" 0 0 0 0 123 "03-07-1853" "09-07-1853"
"94" "Magstræde" "Snarens" 520 "369" "Magstræde" 0 0 0 0 153 "03-07-1853" "09-07-1853"
"95" "Meriansgade" "Nyboder" 160 "148" "Meriansgade" 0 0 0 0 14 "03-07-1853" "09-07-1853"
"96" "Mikkelbryggersgade" "Vester" 543 "477" "Mikkelbryggersgade" 0 0 0 0 190 "03-07-1853" "09-07-1853"
"97" "Møntergade" "Kjøbmager" 1389 "1140" "Møntergade" 0 0 0 0 112 "03-07-1853" "09-07-1853"
"98" "Møntergade" "Rosenborg" NA NA "Møntergade" 2 0 2 0 86 "03-07-1853" "09-07-1853"
"99" "Naboløs" "Strand" 172 "81" "Naboløs" 0 0 0 0 128 "03-07-1853" "09-07-1853"
"100" "Nellikegade" "Nyboder" 94 "161" "Nellikegade" 0 0 0 0 24 "03-07-1853" "09-07-1853"
"101" "Nellikegade" "Øster" 125 "83" "Nellikegade" 0 0 0 0 145 "03-07-1853" "09-07-1853"
"102" "Nikolaigade" "Øster" 256 "183" "Nicolaigade" 0 0 0 0 137 "03-07-1853" "09-07-1853"
"103" "Norgesgade" "St. Annæ Øster" 1485 "1312" "Norgesgade" 2 2 2 1 56 "03-07-1853" "09-07-1853"
"104" "Ny Kongensgade" "Vester" 344 "390" "Ny Kongensgade" 0 0 0 0 198 "03-07-1853" "09-07-1853"
"105" "Ny Vestergade" "Vester" 240 "256" "Ny Vestergade" 0 0 0 0 199 "03-07-1853" "09-07-1853"
"106" "Ny Østergade" "Nyboder" 184 "184" "Nyøstergade" 0 0 0 0 1 "03-07-1853" "09-07-1853"
"107" "Nybrogade" "Snarens" 264 "406" "Nybrogade" 0 0 0 0 151 "03-07-1853" "09-07-1853"
"108" "Nygade" "Nyboder" 200 "217" "Nygade" 0 0 0 0 12 "03-07-1853" "09-07-1853"
"109" "Nyhavn" "St. Annæ Øster" 804 "na" "Nyhavn, B.S." 1 0 0 0 50 "03-07-1853" "09-07-1853"
"110" "Nyhavn" "Øster" 393 "na" "Nyhavn, Charlottenb. Side" 0 0 0 0 150 "03-07-1853" "09-07-1853"
"111" "Nørregade" "Klædebo" 656 "na" "Nørregade" 0 0 0 0 173 "03-07-1853" "09-07-1853"
"112" "Nørregade" "Nørre" 958 "na" "Nørregade" 0 0 0 0 177 "03-07-1853" "09-07-1853"
"113" "Nørrevold og Nørrevoldgade" "Klædebo" 341 "na" "Nørrevold" 0 0 0 0 174 "03-07-1853" "09-07-1853"
"114" "Nørrevold og Nørrevoldgade" "Nørre" 949 "na" "Nørrevold" 1 0 0 0 175 "03-07-1853" "09-07-1853"
