Street1;quarter;pop 1855;pop_1850
Adelgade;St. Annæ Vester;5226;4999
Admiralgade;Øster;322;47
Akademigade;St. Annæ Øster;194;220
Amagerbro;Christianshavn;144;141
Amagergade;Christianshavn;1008;1173
Amagerland og Fælled;;21;na
Amagerports Ravelin;;11;0
Amaliegade;St. Annæ Øster;2785;3003
Amalienborg Plads;;135;0
Antoniestræde;Kjøbmager;568;573
Badstustræde;Snarens;651;591
Bag Børsen;;198;174
Balsamgade;St. Annæ Vester;220;na
Balsamgade;Nyboder;58;na
Bjørnegade;Nyboder;280;345
Blancogade;St. Annæ Øster;360;0
Boldhuusgade;Øster;118;81
Borgergade;St. Annæ Vester;4720;4271
Brogade;Christianshavn;629;642
Brolæggerstræde;Snarens;328;339
Bryggerlængen;;419;274
Bryghuusgade;;33;46
Børnehuustorvet;;267;255
Baadsmandsstræde;Christianshavn;722;340
Christenbernikovstræde;Kjøbmager;601;536
Christiansborg Slot med Tilbygninger;;132;134
Delfingade;Nyboder;768;811
Diderikbadskjærsgang;Kjøbmager;221;201
Dronningens Tvergade;St. Annæ Vester;1307;na
Dronningens Tvergade;St. Annæ Øster;261;na
Dronningensgade;Christianshavn;2305;2151
Dybensgade;Øster;512;826
Dyrkjøb;;50;0
Eenhjørnegade;Nyboder;248;293
Elefantgade;Nyboder;679;720
Elsdyrsgade;Nyboder;733;758
Esplanaden;;12;0
Farvegade;Vester;1548;1532
Fortunstræde;;67;84
Frederiksberggade;Vester;793;940
Frederiksborggade;Klædebo;338;284
Frederikshoms Kanal;Vester;581;406
Gammelmønt;Kjøbmager;1327;1358
Gammelstrand;Strand;803;834
Gl. Amagertorv;Strand;923;875
Gl. og Nytorv;Vester;591;684
Gothersgade;Kjøbmager;700;na
Gothersgade;Rosenborg;1007;na
Gothersgade;St. Annæ Vester;968;na
Grønlandsgade;;54;253
Graabrødrestræde;;70;0
Graabrødretorv;Frimands;593;572
Gaasegade;Vester;74;89
Halmstæde;;28;0
Halmtorvet;Vester;350;324
Hauserpladsen, Suhmsgade, Pustervig etc;Rosenborg;666;548
Helsingørsgade;St. Annæ Vester;583;601
Hestemøllestræde;;95;75
Hindegade;;68;77
Hjertensfrydgade;Nyboder;255;216
Hjortelængen;St. Annæ Vester;452;352
