age_range,lower_age,upper_age,men,women,total
<1,0,1,1709,1726,3435
1-3,1,3,2850,2884,5734
3-5,3,5,2452,2485,4937
5-7,5,7,2165,2155,4320
7-10,7,10,3134,3021,6155
10-15,10,15,5288,5181,10469
15-20,15,20,5513,5445,10958
20-25,20,25,5489,6926,12415
25-30,25,30,6490,7995,14485
30-35,30,35,5931,6359,12290
35-40,35,40,4902,5243,10145
40-45,40,45,3774,4279,8053
45-50,45,50,3498,4119,7617
50-55,50,55,2543,3019,5562
55-60,55,60,1865,2598,4463
60-65,60,65,1203,1951,3154
65-70,65,70,935,1734,2669
70-75,70,75,497,1041,1538
75-80,75,80,238,599,837
80-85,80,85,89,251,340
85-90,85,90,23,76,99
90-95,90,95,3,15,18
95-100,95,100,1,1,2
