"quarter","startday.index","start.date","outside","mensick.week","mendead.week","womensick.week","womendead.week","sick.total.week","dead.total.week","est.pop.1853","normal.incidence","normal.mortality","week.id","quarterID","cum.sick","S","R"
"Christianshavn",0,1853-06-12,0,0,0,0,0,0,0,15836,0,0,0,1,0,15836,0
"Christianshavn",7,1853-06-19,0,1,1,0,0,1,1,15836,0.06,0.06,1,1,1,15835,0
"Christianshavn",14,1853-06-26,0,0,0,4,1,4,1,15836,0.25,0.06,2,1,5,15831,1
"Christianshavn",21,1853-07-03,0,4,3,9,6,13,9,15836,0.82,0.57,3,1,18,15818,5
"Christianshavn",28,1853-07-10,0,45,29,57,48,102,77,15836,6.44,4.86,4,1,120,15716,18
"Christianshavn",35,1853-07-17,0,149,108,158,119,307,227,15836,19.39,14.33,5,1,427,15409,120
"Christianshavn",42,1853-07-24,0,221,151,228,155,449,306,15836,28.35,19.32,6,1,876,14960,427
"Christianshavn",49,1853-07-31,0,120,69,129,71,249,140,15836,15.72,8.84,7,1,1125,14711,876
"Christianshavn",56,1853-08-07,0,43,15,49,20,92,35,15836,5.81,2.21,8,1,1217,14619,1125
"Christianshavn",63,1853-08-14,0,12,6,12,7,24,13,15836,1.52,0.82,9,1,1241,14595,1217
"Christianshavn",70,1853-08-21,0,9,4,8,5,17,9,15836,1.07,0.57,10,1,1258,14578,1241
"Christianshavn",77,1853-08-28,0,7,4,2,2,9,6,15836,0.57,0.38,11,1,1267,14569,1258
"Christianshavn",84,1853-09-04,0,5,3,2,1,7,4,15836,0.44,0.25,12,1,1274,14562,1267
"Christianshavn",91,1853-09-11,0,1,1,0,0,1,1,15836,0.06,0.06,13,1,1275,14561,1274
"Christianshavn",98,1853-09-18,0,2,2,0,0,2,2,15836,0.13,0.13,14,1,1277,14559,1275
"Christianshavn",105,1853-09-25,0,0,0,1,1,1,1,15836,0.06,0.06,15,1,1278,14558,1277
"Fra skibe",0,1853-06-12,0,0,0,0,0,0,0,NA,NA,NA,0,2,0,NA,NA
"Fra skibe",7,1853-06-19,0,5,5,0,0,5,5,NA,NA,NA,1,2,5,NA,NA
"Fra skibe",14,1853-06-26,0,8,4,0,0,8,4,NA,NA,NA,2,2,13,NA,NA
"Fra skibe",21,1853-07-03,0,13,8,0,0,13,8,NA,NA,NA,3,2,26,NA,NA
